platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
linux,adaptive-low,20,0,1,1,20,20,16,8.0,40.0,0.0,,20,99.78,0.318,0,0.072,0.927,1.158,43.879,1.293
linux,adaptive-low,20,0,1,1,20,20,17,8.5,42.5,0.0,,20,99.978,0.224,0,0.169,0.695,0.933,43.479,1.211
linux,adaptive-parallel-c1,140,0,3,3,140,140,27,13.5,60.0,213.694,314.691,140,0.215,0.139,0,0.073,0.328,0.722,42.646,1.083
linux,adaptive-parallel-c1,140,0,3,3,140,140,22,11.0,42.5,157.201,101.674,140,0.141,0.141,0,0.059,0.261,0.761,42.722,1.137
linux,adaptive-parallel-c4,140,0,1,1,140,140,36,18.0,72.5,942.477,101.662,140,13.678,0.135,0,0.097,0.228,0.677,42.668,1.142
linux,adaptive-parallel-c4,140,0,1,1,140,140,36,18.0,77.5,656.394,114.705,140,0.149,0.149,0,0.085,0.216,0.702,42.801,1.123
linux,adaptive-persistent,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1832.823,3514.857,3557.187,1.228
linux,adaptive-persistent,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1837.537,3517.806,3559.712,1.197
linux,adaptive-serial,140,0,4,4,140,140,30,15.0,67.5,542.214,141.34,140,17.892,8.992,0,90.744,0.327,90.944,132.158,1.102
linux,adaptive-serial,140,0,4,4,140,140,30,15.0,70.0,641.346,142.117,140,18.324,8.301,0,116.133,0.438,116.341,157.42,1.141
linux,caddy-node-block-w1,140,0,1,1,140,140,1,0.5,2.5,0.0,,1,7.332,7.332,0,,1825.276,3532.474,4414.241,1.112
linux,caddy-node-block-w1,140,0,1,1,140,140,1,0.5,2.5,0.0,,1,5.189,5.189,0,,1829.12,3533.677,4857.923,1.108
linux,caddy-node-block-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1826.325,3539.238,4638.994,1.092
