platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
windows,adaptive-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.696,1.645,1.96,43.712,0.851
windows,adaptive-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.689,1.825,2.42,44.014,0.741
windows,adaptive-parallel-c1,140,0,2,2,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.0,0.723,41.941,0.715
windows,adaptive-parallel-c1,140,0,2,2,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.541,0.722,42.002,0.713
windows,adaptive-parallel-c4,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.515,0.753,42.111,0.656
windows,adaptive-parallel-c4,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.567,1.226,42.386,0.737
windows,adaptive-persistent,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1830.067,3512.97,3553.763,0.881
windows,adaptive-persistent,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1809.01,3480.494,3521.513,0.602
windows,adaptive-serial,140,0,4,4,140,140,16,8.0,40.0,745.104,160.283,140,29.366,16.343,0,158.002,0.632,158.002,198.932,0.8
windows,adaptive-serial,140,0,4,4,140,140,11,5.5,27.5,493.507,159.31,140,27.992,16.196,0,90.045,0.622,90.633,132.191,0.762
windows,caddy-node-block-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1805.461,3511.065,4347.658,0.837
windows,caddy-node-block-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1803.887,3507.565,4346.767,0.773
windows,caddy-node-block-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1803.266,3511.076,4350.259,0.963
windows,caddy-node-block-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1803.747,3509.656,4345.774,0.846
windows,caddy-node-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,1,,,0,,0.691,1.503,83.085,0.49
windows,caddy-node-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,1,,,0,,0.676,1.781,87.664,0.713
windows,caddy-node-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.236,0.899,73.853,0.916
windows,caddy-node-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.231,0.9,73.502,1.012
windows,caddy-node-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.245,1.043,73.599,0.956
windows,caddy-node-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.346,1.333,75.539,0.915
windows,caddy-node-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.338,1.103,73.383,0.943
windows,caddy-node-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,1,,,0,,0.504,1.489,76.898,0.974
windows,caddy-php_cgi-low,20,0,1,1,0,0,0,0.0,0.0,0.0,,0,,,0,,2.353,5.082,81.641,0.73
windows,caddy-php_cgi-low,20,0,1,1,0,0,0,0.0,0.0,0.0,,0,,,0,,3.408,5.602,82.432,0.794
windows,caddy-php_cgi-w1,140,0,1,1,0,0,40,20.0,100.0,1942.473,159.106,0,,,40,,2347.381,4665.926,4681.804,0.939
windows,caddy-php_cgi-w1,140,0,1,1,0,0,40,20.0,100.0,1942.224,158.772,0,,,40,,2325.22,4565.016,4582.544,0.891
windows,caddy-php_cgi-w2,140,0,2,2,0,0,40,20.0,100.0,1933.322,163.811,0,,,40,,679.247,1361.051,1390.186,0.944
windows,caddy-php_cgi-w2,140,0,2,2,0,0,40,20.0,100.0,1944.847,189.728,0,,,40,,665.792,1323.605,1351.818,0.878
windows,caddy-php_cgi-w4,140,0,4,4,0,0,11,5.5,25.0,133.255,891.534,0,,,11,,2.028,8.531,81.228,0.92
windows,caddy-php_cgi-w4,140,0,4,4,0,0,16,8.0,30.0,136.249,1894.288,0,,,16,,1.594,11.427,84.191,0.93
windows,caddy-python-low,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,0.847,0.847,0,,2.691,3.686,75.529,0.639
windows,caddy-python-low,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,0.681,0.681,0,,2.099,4.691,73.858,0.568
windows,caddy-python-w1,140,0,1,1,140,140,41,20.5,100.0,1984.567,137.565,140,47.154,31.076,0,,1859.322,3658.567,3678.04,0.872
