"date","platform","runtime","protocol","path","result"
"2026-09-24","linux","python","http1","direct","pass"
"2026-09-24","linux","python","http1","caddy","pass"
"2026-09-24","linux","python","http1","nginx","pass"
"2026-09-24","linux","node","http1","direct","pass"
"2026-09-24","linux","node","http1","caddy","pass"
"2026-09-24","linux","node","http1","nginx","pass"
"2026-09-24","linux","node","h2c","direct","pass"
"2026-09-24","linux","node","h2c","caddy","pass"
"2026-09-24","linux","node","h2c","nginx","pass"
"2026-09-24","linux","bun","http1","direct","pass"
"2026-09-24","linux","bun","http1","caddy","pass"
"2026-09-24","linux","bun","http1","nginx","pass"
"2026-09-24","linux","deno","http1","direct","pass"
"2026-09-24","linux","deno","http1","caddy","pass"
"2026-09-24","linux","deno","http1","nginx","pass"
"2026-09-24","linux","deno","h2c","direct","pass"
"2026-09-24","linux","deno","h2c","caddy","pass"
"2026-09-24","linux","deno","h2c","nginx","pass"
"2026-09-24","linux","socketify","http1","direct","pass"
"2026-09-24","linux","socketify","http1","caddy","pass"
"2026-09-24","linux","socketify","http1","nginx","pass"
"2026-09-24","linux","trueasync","http1","direct","pass"
"2026-09-24","linux","trueasync","http1","caddy","pass"
"2026-09-24","linux","trueasync","http1","nginx","pass"
"2026-09-24","linux","trueasync","h2c","direct","pass"
"2026-09-24","linux","trueasync","h2c","caddy","pass"
"2026-09-24","linux","trueasync","h2c","nginx","pass"
