"date","platform","runtime","protocol","path","result"
"2026-09-24","windows","python","http1","direct","pass"
"2026-09-24","windows","python","http1","caddy","pass"
"2026-09-24","windows","python","http1","nginx","pass"
"2026-09-24","windows","node","http1","direct","pass"
"2026-09-24","windows","node","http1","caddy","pass"
"2026-09-24","windows","node","http1","nginx","pass"
"2026-09-24","windows","node","h2c","direct","pass"
"2026-09-24","windows","node","h2c","caddy","pass"
"2026-09-24","windows","node","h2c","nginx","pass"
"2026-09-24","windows","bun","http1","direct","pass"
"2026-09-24","windows","bun","http1","caddy","pass"
"2026-09-24","windows","bun","http1","nginx","pass"
"2026-09-24","windows","bun","h2c","direct","pass"
"2026-09-24","windows","bun","h2c","caddy","pass"
"2026-09-24","windows","bun","h2c","nginx","pass"
"2026-09-24","windows","deno","http1","direct","pass"
"2026-09-24","windows","deno","http1","caddy","pass"
"2026-09-24","windows","deno","http1","nginx","pass"
"2026-09-24","windows","deno","h2c","direct","pass"
"2026-09-24","windows","deno","h2c","caddy","pass"
"2026-09-24","windows","deno","h2c","nginx","pass"
"2026-09-24","windows","socketify","http1","direct","pass"
"2026-09-24","windows","socketify","http1","caddy","pass"
"2026-09-24","windows","socketify","http1","nginx","pass"
"2026-09-24","windows","trueasync","http1","direct","pass"
"2026-09-24","windows","trueasync","http1","caddy","pass"
"2026-09-24","windows","trueasync","http1","nginx","pass"
"2026-09-24","windows","trueasync","h2c","direct","pass"
"2026-09-24","windows","trueasync","h2c","caddy","pass"
"2026-09-24","windows","trueasync","h2c","nginx","pass"
"2026-09-24","linux","python","http1","direct","pass"
"2026-09-24","linux","python","http1","caddy","pass"
"2026-09-24","linux","python","http1","nginx","pass"
"2026-09-24","linux","node","http1","direct","pass"
"2026-09-24","linux","node","http1","caddy","pass"
"2026-09-24","linux","node","http1","nginx","pass"
"2026-09-24","linux","node","h2c","direct","pass"
"2026-09-24","linux","node","h2c","caddy","pass"
"2026-09-24","linux","node","h2c","nginx","pass"
"2026-09-24","linux","bun","http1","direct","pass"
"2026-09-24","linux","bun","http1","caddy","pass"
"2026-09-24","linux","bun","http1","nginx","pass"
"2026-09-24","linux","bun","h2c","direct","pass"
"2026-09-24","linux","bun","h2c","caddy","pass"
"2026-09-24","linux","bun","h2c","nginx","pass"
"2026-09-24","linux","deno","http1","direct","pass"
"2026-09-24","linux","deno","http1","caddy","pass"
"2026-09-24","linux","deno","http1","nginx","pass"
"2026-09-24","linux","deno","h2c","direct","pass"
"2026-09-24","linux","deno","h2c","caddy","pass"
"2026-09-24","linux","deno","h2c","nginx","pass"
"2026-09-24","linux","socketify","http1","direct","pass"
"2026-09-24","linux","socketify","http1","caddy","pass"
"2026-09-24","linux","socketify","http1","nginx","pass"
"2026-09-24","linux","trueasync","http1","direct","skip"
"2026-09-24","linux","trueasync","http1","caddy","skip"
"2026-09-24","linux","trueasync","http1","nginx","skip"
"2026-09-24","linux","trueasync","h2c","direct","skip"
"2026-09-24","linux","trueasync","h2c","caddy","skip"
"2026-09-24","linux","trueasync","h2c","nginx","skip"
